0,2,0,0.8
0.1,1.99978,8.23581e-05,0.799877
0.2,1.99963,0.000137355,0.799794
0.3,1.9994,0.000224614,0.799664
0.4,1.99904,0.000360051,0.799461
0.5,1.99849,0.000565618,0.799154
0.6,1.99767,0.000870613,0.798698
0.7,1.99649,0.00131282,0.798037
0.8,1.99482,0.00193925,0.797102
0.9,1.99251,0.00280615,0.795809
1,1.98938,0.00397821,0.794064
1.1,1.98526,0.00552665,0.791764
1.2,1.97995,0.0075263,0.788801
1.3,1.97325,0.0100519,0.785072
1.4,1.96499,0.0131737,0.780484
1.5,1.95502,0.0169535,0.774959
1.6,1.94323,0.0214405,0.768443
1.7,1.92956,0.026668,0.76091
1.8,1.91401,0.0326515,0.752365
1.9,1.8966,0.0393874,0.742843
2,1.87746,0.0468524,0.732411
2.1,1.85672,0.0550041,0.721162
2.2,1.83459,0.0637811,0.709215
2.3,1.8113,0.0731042,0.696712
2.4,1.78715,0.0828759,0.683809
2.5,1.76244,0.0929814,0.670683
2.6,1.73752,0.103288,0.65752
2.7,1.71276,0.113643,0.644518
2.8,1.68857,0.123878,0.631885
2.9,1.66538,0.133807,0.619835
3,1.6436,0.143233,0.60858
3.1,1.62365,0.151954,0.598324
3.2,1.60592,0.159781,0.589248
3.3,1.59071,0.166553,0.58149
3.4,1.57818,0.172167,0.575127
3.5,1.56836,0.176591,0.570155
3.6,1.56107,0.179878,0.566484
3.7,1.556,0.182163,0.563944
3.8,1.55272,0.183636,0.562312
3.9,1.55074,0.184508,0.561346
4,1.54963,0.184976,0.560827
4.1,1.54905,0.185201,0.560577
4.2,1.54874,0.185293,0.560472
4.3,1.54857,0.185323,0.560437
4.4,1.54843,0.185326,0.560431
4.5,1.54829,0.18532,0.560434
4.6,1.54814,0.185312,0.56044
4.7,1.54795,0.185304,0.560446
4.8,1.54772,0.185296,0.560452
4.9,1.54743,0.185288,0.560457
5,1.54695,0.185281,0.560461
5.1,1.54538,0.185275,0.560465
5.2,1.54034,0.185268,0.560468
5.3,1.52821,0.185262,0.560471
5.4,1.50595,0.185256,0.560473
5.5,1.47321,0.18525,0.560475
5.6,1.43321,0.185244,0.560476
5.7,1.39144,0.185238,0.560477
5.8,1.35341,0.185233,0.560478
5.9,1.32274,0.185227,0.560479
6,1.30058,0.185221,0.560479
6.1,1.28612,0.185215,0.560478
6.2,1.27755,0.18521,0.560478
6.3,1.27292,0.185203,0.560476
6.4,1.27067,0.185197,0.560474
6.5,1.26969,0.185189,0.560471
6.6,1.26935,0.185179,0.560465
6.7,1.26927,0.185163,0.560454
6.8,1.26929,0.185138,0.560433
6.9,1.26931,0.185093,0.560393
7,1.26928,0.185012,0.560315
7.1,1.26913,0.184865,0.560172
7.2,1.26879,0.184606,0.559917
7.3,1.26815,0.18416,0.559475
7.4,1.26702,0.183418,0.55874
7.5,1.26516,0.182227,0.557558
7.6,1.26224,0.180375,0.555724
7.7,1.25784,0.177594,0.552977
7.8,1.25143,0.173554,0.549007
7.9,1.24248,0.167886,0.543478
8,1.23045,0.160216,0.536073
8.1,1.21494,0.150233,0.526565
8.2,1.19583,0.137783,0.514913
8.3,1.17345,0.122979,0.50135
8.4,1.14866,0.106295,0.486436
8.5,1.12282,0.0885808,0.47102
8.6,1.09756,0.0709498,0.456094
8.7,1.07446,0.0545484,0.442573
8.8,1.05465,0.0402852,0.431092
8.9,1.03868,0.0286496,0.421913
9,1.02649,0.0196901,0.414956
9.1,1.01762,0.0131287,0.409922
9.2,1.01142,0.00852327,0.406419
9.3,1.00723,0.00540387,0.40406
9.4,1.00449,0.00335362,0.402516
9.5,1.00273,0.00204057,0.401529
9.6,1.00163,0.00121876,0.400913
9.7,1.00096,0.000715066,0.400535
9.8,1.00055,0.000412348,0.400309
9.9,1,0,0.4
